"COMPENDEX SOURCE LIST: UPDATED FEBRUARY 1, 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
EAI Endorsed Transactions on Industrial Networks and Intelligent Systems,Journal,-,24100218,European Alliance for Innovation,Belgium,Computer Networks and Communications,Computer Science Applications,Information Systems,Control and Systems Engineering,-,-,-,-,OA (DOAJ)
EAI Endorsed Transactions on Pervasive Health and Technology,Journal,-,24117145,European Alliance for Innovation,Belgium,Computer Science (miscellaneous),Health Informatics,-,-,-,-,-,-,OA (DOAJ)
EAI Endorsed Transactions on Scalable Information Systems,Journal,-,20329407,European Alliance for Innovation,Belgium,Computer Networks and Communications,Computer Science Applications,Hardware and Architecture,Information Systems,Software,Information Systems and Management,-,-,OA (DOAJ)
EAI International Conference on Bio-inspired Information and Communications Technologies (BICT),Proceeding,-,24116777,ICST,Belgium,Artificial Intelligence,Computer Networks and Communications,Hardware and Architecture,Software,Neuroscience (miscellaneous),-,-,-,-
"EAI International Conference on Mobile Computing, Applications and Services (MobiCASE)",Proceeding,-,24117080,ICST,Belgium,Computer Science (miscellaneous),Artificial Intelligence,Computer Networks and Communications,Computer Science Applications,-,-,-,-,-
EAI International Conference on Testbeds and Research Infrastructures for the Development of Networks and Communities (TRIDENTCOM),Proceeding,-,24131059,ICST,Belgium,Computer Science (miscellaneous),Artificial Intelligence,Computer Networks and Communications,Hardware and Architecture,Information Systems,-,-,-,-
EAI/Springer Innovations in Communication and Computing,Book series,25228595,25228609,Springer Science and Business Media Deutschland GmbH,Switzerland,Computer Networks and Communications,Information Systems,Electrical and Electronic Engineering,Health Informatics,-,-,-,-,-
Earth and Planetary Science Letters,Journal,0012821X,-,Elsevier B.V.,Netherlands,Earth and Planetary Sciences (miscellaneous),Geochemistry and Petrology,Geophysics,Space and Planetary Science,-,-,-,-,OA (DOAJ)
Earth Interactions,Journal,-,10873562,American Meteorological Society,United States,Earth and Planetary Sciences (all),-,-,-,-,-,-,-,-
Earth Science Frontiers,Journal,10052321,-,Science Frontiers editorial department,China,Geology,-,-,-,-,-,-,-,-
Earth Surface Processes and Landforms,Journal,01979337,10969837,John Wiley and Sons Ltd,United Kingdom,Earth and Planetary Sciences (miscellaneous),Earth-Surface Processes,"Geography, Planning and Development",-,-,-,-,-,OA (DOAJ)
Earth System Dynamics,Journal,21904979,21904987,Copernicus Publications,Germany,Earth and Planetary Sciences (all),-,-,-,-,-,-,-,OA (DOAJ/ROAD)
Earthquake and Structures,Journal,20927614,20927622,Techno-Press,South Korea,Civil and Structural Engineering,-,-,-,-,-,-,-,-
Earthquake Engineering and Engineering Vibration,Journal,16713664,1993503X,Institute of Engineering Mechanics (IEM),China,Geotechnical Engineering and Engineering Geology,Civil and Structural Engineering,Mechanical Engineering,Building and Construction,-,-,-,-,-
Earthquake Engineering and Structural Dynamics,Journal,00988847,10969845,John Wiley and Sons Ltd,United Kingdom,Earth and Planetary Sciences (miscellaneous),Geotechnical Engineering and Engineering Geology,Civil and Structural Engineering,-,-,-,-,-,OA (DOAJ)
Earthquake Spectra,Journal,87552930,19448201,SAGE Publications Inc.,United States,Geophysics,Geotechnical Engineering and Engineering Geology,-,-,-,-,-,-,-
EAS Publications Series,Book series,16334760,16381963,EDP Sciences,France,Space and Planetary Science,Engineering (all),Astronomy and Astrophysics,-,-,-,-,-,-
eb - Elektrische Bahnen,Trade journal,00135437,-,De Gruyter Open Ltd,Germany,Automotive Engineering,Electrical and Electronic Engineering,-,-,-,-,-,-,-
EBU Technical Review,Trade journal,10196587,16091469,European Broadcasting Union,Switzerland,Electrical and Electronic Engineering,Media Technology,-,-,-,-,-,-,-
EC and M: Electrical Construction and Maintenance,Trade journal,1082295X,27716384,Endeavor Business Media,United States,Electrical and Electronic Engineering,-,-,-,-,-,-,-,-
Eceee Industrial Summer Study Proceedings,Proceeding,20017979,20017987,European Council for an Energy Efficient Economy,Sweden,Energy Engineering and Power Technology,"Renewable Energy, Sustainability and the Environment",Industrial and Manufacturing Engineering,-,-,-,-,-,-
Eceee Summer Study Proceedings,Proceeding,16537025,20017960,European Council for an Energy Efficient Economy,Sweden,Energy Engineering and Power Technology,"Renewable Energy, Sustainability and the Environment",Industrial and Manufacturing Engineering,-,-,-,-,-,-
eChallenges Conference,Proceeding,21661650,-,Institute of Electrical and Electronics Engineers Inc.,United States,Artificial Intelligence,Computational Theory and Mathematics,Computer Science Applications,-,-,-,-,-,-
ECN Electronic Component News,Trade journal,15233081,-,Omeda,United States,Software,Electrical and Electronic Engineering,-,-,-,-,-,-,-
Ecohydrology,Journal,19360584,19360592,John Wiley and Sons Ltd,United Kingdom,Aquatic Science,"Ecology, Evolution, Behavior and Systematics",Earth-Surface Processes,Ecology,-,-,-,-,-
Ecological Engineering,Journal,09258574,-,Elsevier B.V.,Netherlands,Environmental Engineering,"Management, Monitoring, Policy and Law",Nature and Landscape Conservation,-,-,-,-,-,OA (DOAJ)
Ecological Indicators,Journal,1470160X,-,Elsevier B.V.,Netherlands,"Ecology, Evolution, Behavior and Systematics",Decision Sciences (all),Ecology,-,-,-,-,-,OA (DOAJ)
Ecological Modelling,Journal,03043800,-,Elsevier B.V.,Netherlands,Ecological Modeling,Ecology,-,-,-,-,-,-,OA (DOAJ)
Ecological Processes,Journal,-,21921709,Springer Science and Business Media Deutschland GmbH,Germany,Ecological Modeling,Ecology,-,-,-,-,-,-,OA (DOAJ/ROAD)
Ecology and Civil Engineering,Journal,13443755,18825974,Ecology and Civil Engineering Society,Japan,Civil and Structural Engineering,Ecology,-,-,-,-,-,-,-
Economic Geology,Journal,03610128,15540774,"Society of Economic Geologists, Inc",United States,Economic Geology,Geochemistry and Petrology,Geology,Geophysics,-,-,-,-,OA (DOAJ)
"eCrime Researchers Summit, eCrime",Proceeding,21591237,21591245,IEEE Computer Society,United States,Computer Networks and Communications,Computer Science Applications,Information Systems,Information Systems and Management,-,-,-,-,-
ECS Journal of Solid State Science and Technology,Journal,21628769,21628777,Institute of Physics,United States,"Electronic, Optical and Magnetic Materials",-,-,-,-,-,-,-,-
ECS Transactions,Proceeding,19386737,19385862,Institute of Physics,United States,Engineering (all),-,-,-,-,-,-,-,-
EDN,Trade journal,00127515,-,UBM Medica Healthcare Publications,United States,Electrical and Electronic Engineering,-,-,-,-,-,-,-,-
Education for Chemical Engineers,Journal,17497728,-,Elsevier B.V.,Netherlands,Chemical Engineering (all),Education,-,-,-,-,-,-,-
Education for Information,Journal,01678329,-,IOS Press BV,Netherlands,Information Systems,Education,Library and Information Sciences,-,-,-,-,-,-
EE: Evaluation Engineering,Trade journal,01490370,-,Nelson Publishing Inc.,United States,Electrical and Electronic Engineering,-,-,-,-,-,-,-,-
"EEA - Electrotehnica, Electronica, Automatica",Journal,15825175,2392828X,Editura ELECTRA,Romania,Control and Systems Engineering,Electrical and Electronic Engineering,-,-,-,-,-,-,OA (ROAD)
"EG Workshop on Computational Aesthetics in Graphics, Visualization and Imaging",Proceeding,18160859,-,Eurographics Association,Germany,Computer Graphics and Computer-Aided Design,Computer Science Applications,Modeling and Simulation,-,-,-,-,-,-
Egyptian Informatics Journal,Journal,11108665,-,Elsevier B.V.,Netherlands,Computer Science Applications,Information Systems,Management Science and Operations Research,-,-,-,-,-,OA (DOAJ)
Egyptian Journal of Remote Sensing and Space Science,Journal,11109823,20902476,Elsevier B.V.,Netherlands,Earth and Planetary Sciences (all),-,-,-,-,-,-,-,OA (DOAJ)
E-Informatica Software Engineering Journal,Journal,18977979,20844840,Wroclaw University of Science and Technology,Poland,Software,-,-,-,-,-,-,-,OA (DOAJ/ROAD)
e-Journal of Surface Science and Nanotechnology,Journal,-,13480391,The Japan Society of Vacuum and Surface Science,Japan,Biotechnology,Bioengineering,Mechanics of Materials,"Surfaces, Coatings and Films",Condensed Matter Physics,Surfaces and Interfaces,-,-,OA (DOAJ)
Eksploatacja i Niezawodnosc,Journal,15072711,-,Polish Academy of Sciences Branch Lublin,Poland,Industrial and Manufacturing Engineering,"Safety, Risk, Reliability and Quality",-,-,-,-,-,-,OA (DOAJ)
eLearn Magazine,Trade journal,-,1535394X,Association for Computing Machinery,United States,Computer Science Applications,Software,Education,-,-,-,-,-,-
Electric Power Components and Systems,Journal,15325008,15325016,Taylor and Francis Ltd.,United States,Energy Engineering and Power Technology,Electrical and Electronic Engineering,Mechanical Engineering,-,-,-,-,-,-
